5.1 | history: 5 | steps: 50000 | filters: [32, 64] | sizes: [5, 5] | dense: 128 | logits: 2 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.3 | history: 5 | steps: 50000 | filters: [32, 64] | sizes: [5, 5] | dense: 128 | logits: 4 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.6 | history: 5 | steps: 50000 | filters: [32, 64] | sizes: [5, 5] | dense: 128 | logits: 8 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.11 | history: 5 | steps: 50000 | filters: [32, 64] | sizes: [5, 5] | dense: 256 | logits: 2 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.18 | history: 5 | steps: 50000 | filters: [32, 64] | sizes: [5, 5] | dense: 256 | logits: 4 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.27 | history: 5 | steps: 50000 | filters: [32, 64] | sizes: [5, 5] | dense: 256 | logits: 8 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.38 | history: 5 | steps: 50000 | filters: [32, 64] | sizes: [5, 5] | dense: 512 | logits: 2 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.51 | history: 5 | steps: 50000 | filters: [32, 64] | sizes: [5, 5] | dense: 512 | logits: 4 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.66 | history: 5 | steps: 50000 | filters: [32, 64] | sizes: [5, 5] | dense: 512 | logits: 8 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.92 | history: 5 | steps: 100000 | filters: [32, 64] | sizes: [5, 5] | dense: 128 | logits: 2 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.112 | history: 5 | steps: 100000 | filters: [32, 64] | sizes: [5, 5] | dense: 128 | logits: 4 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.134 | history: 5 | steps: 100000 | filters: [32, 64] | sizes: [5, 5] | dense: 128 | logits: 8 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.158 | history: 5 | steps: 100000 | filters: [32, 64] | sizes: [5, 5] | dense: 256 | logits: 2 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.184 | history: 5 | steps: 100000 | filters: [32, 64] | sizes: [5, 5] | dense: 256 | logits: 4 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.212 | history: 5 | steps: 100000 | filters: [32, 64] | sizes: [5, 5] | dense: 256 | logits: 8 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.242 | history: 5 | steps: 100000 | filters: [32, 64] | sizes: [5, 5] | dense: 512 | logits: 2 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.274 | history: 5 | steps: 100000 | filters: [32, 64] | sizes: [5, 5] | dense: 512 | logits: 4 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.308 | history: 5 | steps: 100000 | filters: [32, 64] | sizes: [5, 5] | dense: 512 | logits: 8 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.344 | history: 5 | steps: 200000 | filters: [32, 64] | sizes: [5, 5] | dense: 128 | logits: 2 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.382 | history: 5 | steps: 200000 | filters: [32, 64] | sizes: [5, 5] | dense: 128 | logits: 4 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.422 | history: 5 | steps: 200000 | filters: [32, 64] | sizes: [5, 5] | dense: 128 | logits: 8 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.464 | history: 5 | steps: 200000 | filters: [32, 64] | sizes: [5, 5] | dense: 256 | logits: 2 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.508 | history: 5 | steps: 200000 | filters: [32, 64] | sizes: [5, 5] | dense: 256 | logits: 4 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.554 | history: 5 | steps: 200000 | filters: [32, 64] | sizes: [5, 5] | dense: 256 | logits: 8 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.602 | history: 5 | steps: 200000 | filters: [32, 64] | sizes: [5, 5] | dense: 512 | logits: 2 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.652 | history: 5 | steps: 200000 | filters: [32, 64] | sizes: [5, 5] | dense: 512 | logits: 4 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.704 | history: 5 | steps: 200000 | filters: [32, 64] | sizes: [5, 5] | dense: 512 | logits: 8 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.1487 | history: 5 | steps: 50000 | filters: [64, 64] | sizes: [5, 5] | dense: 128 | logits: 2 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.1542 | history: 5 | steps: 50000 | filters: [64, 64] | sizes: [5, 5] | dense: 128 | logits: 4 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.1599 | history: 5 | steps: 50000 | filters: [64, 64] | sizes: [5, 5] | dense: 128 | logits: 8 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.1658 | history: 5 | steps: 50000 | filters: [64, 64] | sizes: [5, 5] | dense: 256 | logits: 2 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.1719 | history: 5 | steps: 50000 | filters: [64, 64] | sizes: [5, 5] | dense: 256 | logits: 4 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.1782 | history: 5 | steps: 50000 | filters: [64, 64] | sizes: [5, 5] | dense: 256 | logits: 8 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.1847 | history: 5 | steps: 50000 | filters: [64, 64] | sizes: [5, 5] | dense: 512 | logits: 2 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.1914 | history: 5 | steps: 50000 | filters: [64, 64] | sizes: [5, 5] | dense: 512 | logits: 4 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.1983 | history: 5 | steps: 50000 | filters: [64, 64] | sizes: [5, 5] | dense: 512 | logits: 8 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.2090 | history: 5 | steps: 100000 | filters: [64, 64] | sizes: [5, 5] | dense: 128 | logits: 2 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.2164 | history: 5 | steps: 100000 | filters: [64, 64] | sizes: [5, 5] | dense: 128 | logits: 4 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.2240 | history: 5 | steps: 100000 | filters: [64, 64] | sizes: [5, 5] | dense: 128 | logits: 8 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.2318 | history: 5 | steps: 100000 | filters: [64, 64] | sizes: [5, 5] | dense: 256 | logits: 2 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.2398 | history: 5 | steps: 100000 | filters: [64, 64] | sizes: [5, 5] | dense: 256 | logits: 4 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.2480 | history: 5 | steps: 100000 | filters: [64, 64] | sizes: [5, 5] | dense: 256 | logits: 8 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.2564 | history: 5 | steps: 100000 | filters: [64, 64] | sizes: [5, 5] | dense: 512 | logits: 2 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.2650 | history: 5 | steps: 100000 | filters: [64, 64] | sizes: [5, 5] | dense: 512 | logits: 4 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.2738 | history: 5 | steps: 100000 | filters: [64, 64] | sizes: [5, 5] | dense: 512 | logits: 8 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.2828 | history: 5 | steps: 200000 | filters: [64, 64] | sizes: [5, 5] | dense: 128 | logits: 2 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.2920 | history: 5 | steps: 200000 | filters: [64, 64] | sizes: [5, 5] | dense: 128 | logits: 4 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.3014 | history: 5 | steps: 200000 | filters: [64, 64] | sizes: [5, 5] | dense: 128 | logits: 8 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.3110 | history: 5 | steps: 200000 | filters: [64, 64] | sizes: [5, 5] | dense: 256 | logits: 2 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.3208 | history: 5 | steps: 200000 | filters: [64, 64] | sizes: [5, 5] | dense: 256 | logits: 4 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.3308 | history: 5 | steps: 200000 | filters: [64, 64] | sizes: [5, 5] | dense: 256 | logits: 8 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.3410 | history: 5 | steps: 200000 | filters: [64, 64] | sizes: [5, 5] | dense: 512 | logits: 2 | data: cnn_datae4_age8050_annkprob_of_death_at_80
5.3514 | history: 15 | steps: 50000 | filters: [16, 32, 64] | sizes: [5, 5, 5] | dense: 128 | logits: 2 | data: cnn_datae4_age8050_annkprob_of_death_at_80
15.2 | history: 15 | steps: 50000 | filters: [16, 32, 64] | sizes: [5, 5, 5] | dense: 128 | logits: 4 | data: cnn_datae4_age8050_annkprob_of_death_at_80
15.6 | history: 15 | steps: 50000 | filters: [16, 32, 64] | sizes: [5, 5, 5] | dense: 128 | logits: 8 | data: cnn_datae4_age8050_annkprob_of_death_at_80
15.12 | history: 15 | steps: 50000 | filters: [16, 32, 64] | sizes: [5, 5, 5] | dense: 256 | logits: 2 | data: cnn_datae4_age8050_annkprob_of_death_at_80
15.20 | history: 15 | steps: 50000 | filters: [16, 32, 64] | sizes: [5, 5, 5] | dense: 256 | logits: 4 | data: cnn_datae4_age8050_annkprob_of_death_at_80
15.30 | history: 15 | steps: 50000 | filters: [16, 32, 64] | sizes: [5, 5, 5] | dense: 256 | logits: 8 | data: cnn_datae4_age8050_annkprob_of_death_at_80
15.42 | history: 15 | steps: 50000 | filters: [16, 32, 64] | sizes: [5, 5, 5] | dense: 512 | logits: 2 | data: cnn_datae4_age8050_annkprob_of_death_at_80
15.56 | history: 15 | steps: 50000 | filters: [16, 32, 64] | sizes: [5, 5, 5] | dense: 512 | logits: 4 | data: cnn_datae4_age8050_annkprob_of_death_at_80
15.72 | history: 15 | steps: 50000 | filters: [16, 32, 64] | sizes: [5, 5, 5] | dense: 512 | logits: 8 | data: cnn_datae4_age8050_annkprob_of_death_at_80
15.90 | history: 15 | steps: 100000 | filters: [16, 32, 64] | sizes: [5, 5, 5] | dense: 128 | logits: 2 | data: cnn_datae4_age8050_annkprob_of_death_at_80
15.110 | history: 15 | steps: 100000 | filters: [16, 32, 64] | sizes: [5, 5, 5] | dense: 128 | logits: 4 | data: cnn_datae4_age8050_annkprob_of_death_at_80
15.132 | history: 15 | steps: 100000 | filters: [16, 32, 64] | sizes: [5, 5, 5] | dense: 128 | logits: 8 | data: cnn_datae4_age8050_annkprob_of_death_at_80
